Tweet,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
"PENGGUNA PENGGUNA PENGGUNA HAHAHAHA...\nAnak monyet mana sih yang ngerti DONGO...\nBaca balik ""efilnikcufecin""..\nKeturunan monyet memang DONGO...\xf0\x9f\x98\x83\xf0\x9f\x98\x86 '",0,1,0,haha anak monyet sih nge i dongok baca efilnikcufecin turun monyet dongok,"['haha', 'anak', 'monyet', 'sih', 'nge', 'i', 'dongok', 'baca', 'efilnikcufecin', 'turun', 'monyet', 'dongok']"
"RT USER: admin punya dendam, tak mungkin dia jadi admin bodoh'",1,0,0,admin dendam admin bodoh,"['admin', 'dendam', 'admin', 'bodoh']"
"Bubarkan partai-partai gaduh, partai-partai burung pipit, dan partai-partai keagamaan yang menjual ternak",0,0,1,bubar ai ai gaduh ai ai burung pipit ai ai agama jual ternak,"['bubar', 'ai', 'ai', 'gaduh', 'ai', 'ai', 'burung', 'pipit', 'ai', 'ai', 'agama', 'jual', 'ternak']"
"USER USER Bangkai ah, awas lu mitnah gua ye boker'",1,0,0,bangkai ah awas fitnah gue iya berak,"['bangkai', 'ah', 'awas', 'fitnah', 'gue', 'iya', 'berak']"
RT USER: Bodo sial anakk anjinggg maju lu sini syaitonn sweater mansoura',1,0,0,bodoh sial anak anjinggg maju setan sweater mansoura,"['bodoh', 'sial', 'anak', 'anjinggg', 'maju', 'setan', 'sweater', 'mansoura']"
Lo kalo ada masalah sama gue langsung aja bilang ke gue .. Jangan cuma bisanya bacot lo doang yang koar2 dibelakang gue !! Fak pengecut lo',1,0,0,gue langsung bilang gue bacot doang koar koar gue fuck kecut,"['gue', 'langsung', 'bilang', 'gue', 'bacot', 'doang', 'koar', 'koar', 'gue', 'fuck', 'kecut']"
RT USER Usir saja duta besar negara Kristen dan hubungan diplomatik terputus.,0,0,1,usir duta negara kristen hubung diplomatik putus,"['usir', 'duta', 'negara', 'kristen', 'hubung', 'diplomatik', 'putus']"
Beriman kepada Allah SWT yang dungu & biadab? Anda mendungukan & membiadabkan bangsa,0,1,0,iman allah subhanahu wa taala dungu biadab dungu biadab bangsa,"['iman', 'allah', 'subhanahu', 'wa', 'taala', 'dungu', 'biadab', 'dungu', 'biadab', 'bangsa']"
USER USER USER USER USER USER USER USER Yang teriak susah pasti gak dapet jawabannya..dan lo gak bisa jawab kan?\nSimpel kok..\nDungu sok pinter mah kebaca bong!\xf0\x9f\x98\x82\xf0\x9f\x98\x82\nK,1,0,0,teriak susah simpel dungu sok pintar baca bong k,"['teriak', 'susah', 'simpel', 'dungu', 'sok', 'pintar', 'baca', 'bong', 'k']"
"USER Tidak heran, kan aslinya anda burik \xf0\x9f\x91\x8d'",1,0,0,heran asli burik,"['heran', 'asli', 'burik']"
Bubarkan aja dpr..kebanyakan diam URL,0,0,1,bubar dewan wakil rakyat diam uniform resource locator,"['bubar', 'dewan', 'wakil', 'rakyat', 'diam', 'uniform', 'resource', 'locator']"
"USER Yang salah, apbn buat gaji si mulut onta!.. kerja gak ada, semoga Allah cepet kasib ente aza",1,0,0,salah anggar belanja negara gaji sih mulut onta kerja moga allah cepat kasih,"['salah', 'anggar', 'belanja', 'negara', 'gaji', 'sih', 'mulut', 'onta', 'kerja', 'moga', 'allah', 'cepat', 'kasih']"
"Kalau tak mau mendengarkan ulama dan ngotot mengkriminalisasi ulama, copot saja Jokowi.",0,0,1,dengar ulama otot kriminalisasi ulama copot jokowi,"['dengar', 'ulama', 'otot', 'kriminalisasi', 'ulama', 'copot', 'jokowi']"
"tim ahok yg otak wc otak tumpul justru anies itu sdh komit sekali dgn pancasila ,ahok kafir sgt tdk bs berpancasila",1,0,0,tim ahok otak toilet otak tumpul anies komit pancasila ahok kafir pancasila,"['tim', 'ahok', 'otak', 'toilet', 'otak', 'tumpul', 'anies', 'komit', 'pancasila', 'ahok', 'kafir', 'pancasila']"
RT USER kalau jokowi ga bs diingatkan... mundur aja jendral.. bantai doi th 2019 lewat pemilihan presiden,0,0,1,jokowi mundur jenderal bantai 2019 pilih presiden,"['jokowi', 'mundur', 'jenderal', 'bantai', '2019', 'pilih', 'presiden']"
HUKUM DI INDONESIA SUDAH MATI,0,1,0,hukum indonesia mati,"['hukum', 'indonesia', 'mati']"
PENGGUNA PENGGUNA PENGGUNA PENGGUNA 'Cebong adalah SAMPAH MASYARAKAT!!',0,1,0,cebong sampah masyarakat,"['cebong', 'sampah', 'masyarakat']"
"Apa yang pantas ditunggu oleh kita semua\n\nPara penyebar berita bohong mulai membangun Ahok seperti Nelson Mandela\n\nPertanyaan memalukan selanjutnya, apakah Ahok juga dijebloskan ke penjara seperti Mandela?\n\nMandela adalah pahlawan, sedangkan Ahok adalah pemimpin yang suka marah-marah.",0,1,0,tunggu sebar berita bohong bangun ahok sepe i nelson mandela pe anyaan malu ahok jeblos penjara sepe i mandela mandela pahlawan ahok pimpin suka marah marah,"['tunggu', 'sebar', 'berita', 'bohong', 'bangun', 'ahok', 'sepe', 'i', 'nelson', 'mandela', 'pe', 'anyaan', 'malu', 'ahok', 'jeblos', 'penjara', 'sepe', 'i', 'mandela', 'mandela', 'pahlawan', 'ahok', 'pimpin', 'suka', 'marah', 'marah']"
USER USER Cina babi tuh yang bikin rusak Indonesia. Bantai aja,0,0,1,cina babi bikin rusak indonesia bantai,"['cina', 'babi', 'bikin', 'rusak', 'indonesia', 'bantai']"
"Allah SWT yang disembah itu bodoh & biadab, percuma saja",0,1,0,allah subhanahu wa taala sembah bodoh biadab,"['allah', 'subhanahu', 'wa', 'taala', 'sembah', 'bodoh', 'biadab']"
"USER USER USER USER USER USER USER USER USER USER USER Biasa.. bani coli, ngga beda jauh sm junjungan dan kawan2nya.. haha'",0,1,0,bani coli beda junjung kawan kawan haha,"['bani', 'coli', 'beda', 'junjung', 'kawan', 'kawan', 'haha']"
USER USER USER Hadeh masih ada kalender pergantian hashtag di tweet IAAF\nbasic camel \xf0\x9f\x98\x82',1,0,0,aduh kalender ganti tagar twit international association of athletics federations basic camel,"['aduh', 'kalender', 'ganti', 'tagar', 'twit', 'international', 'association', 'of', 'athletics', 'federations', 'basic', 'camel']"
"Pengusaha China: Kalau Reklamasi Pulau G Dibatalkan, Jokowi Akan Kita Singkirkan! URL",0,0,1,usaha cina reklamasi pulau batal jokowi singkir uniform resource locator,"['usaha', 'cina', 'reklamasi', 'pulau', 'batal', 'jokowi', 'singkir', 'uniform', 'resource', 'locator']"
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',0,1,0,cowok gantle gantle nama banci,"['cowok', 'gantle', 'gantle', 'nama', 'banci']"
Nextnya Turunkan Jokowi Pak de USER,0,0,1,turun jokowi deh,"['turun', 'jokowi', 'deh']"
Lihat USER penumpangnya dipenuhi TKA cina yg tdk bisa bhs Indonesia dan ingris cc USER URL,0,1,0,lihat tumpang penuh tenaga kerja asing cina bahas indonesia inggris cc uniform resource locator,"['lihat', 'tumpang', 'penuh', 'tenaga', 'kerja', 'asing', 'cina', 'bahas', 'indonesia', 'inggris', 'cc', 'uniform', 'resource', 'locator']"
Semakin dibiarkan maka aset negara akan semakin terkuras. menggulingkan Jokowi.. URL,0,0,1,biar aset negara kuras guling jokowi uniform resource locator,"['biar', 'aset', 'negara', 'kuras', 'guling', 'jokowi', 'uniform', 'resource', 'locator']"
Sudah saatnya mengusir penjajah Cina dari Indonesia!! PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA,0,0,1,usir jajah cina indonesia,"['usir', 'jajah', 'cina', 'indonesia']"
Aku baik-baik saja denganmu. Anda ingin tahu segalanya tentang orang lain! Bodoh sekali! Gadis canggung!',1,0,0,orang bodoh gadis canggung,"['orang', 'bodoh', 'gadis', 'canggung']"
PENGGUNA PENGGUNA PENGGUNA Diamlo bajingan cina',1,0,0,diam lu bajing cina,"['diam', 'lu', 'bajing', 'cina']"
USER Bilangin sama mak Srimulyani ajah pak supaya THR si sontoloyo ini gak ditransfer',1,0,0,bilang mak sri mulyani tunjang raya sih sontoloyo transfer,"['bilang', 'mak', 'sri', 'mulyani', 'tunjang', 'raya', 'sih', 'sontoloyo', 'transfer']"
RT USER USER Sebaiknya USER dibubarkan dan dibentuk lembaga antikorupsi baru dengan paradigma baru yang benar-benar independen.,0,0,1,bubar bentuk lembaga anti korupsi paradigma bebas,"['bubar', 'bentuk', 'lembaga', 'anti', 'korupsi', 'paradigma', 'bebas']"
"#kondoms\n\n*Saya ingin menonton ulang film Marvel di TV*\n\nAyah: Jangan tonton itu, itu dibuat oleh orang Yahudi! Umat ​​Islam dilarang menonton apapun yang mengandung unsur Yahudi!!!!!\n\nSaya: ... Baiklah.\n\nSaya kesal.'",0,1,0,kondom tonton ulang film marvel televisi ayah tonton orang yahudi umat islam larang tonton kandung unsur yahudi kesal,"['kondom', 'tonton', 'ulang', 'film', 'marvel', 'televisi', 'ayah', 'tonton', 'orang', 'yahudi', 'umat', 'islam', 'larang', 'tonton', 'kandung', 'unsur', 'yahudi', 'kesal']"
Gulingkan Jokowi Secara Radikal KURANGI REZIM BUATAN.. TURUN JOKOWI,0,0,1,guling jokowi radikal rezim turun jokowi,"['guling', 'jokowi', 'radikal', 'rezim', 'turun', 'jokowi']"
"Pki bilang agama itu candu rakyat, tapi kalau agama digunakan untuk melawan feodalisme &amp; kapitalisme baru agama memang benar adanya. Hei bajingan, menurutmu seberapa rendahkah orang beragama? ingin membuat kita ala",0,1,0,partai komunis indonesia bilang agama candu rakyat agama lawan feodalisme amp kapitalisme agama hai bajing rendah orang agama ala,"['partai', 'komunis', 'indonesia', 'bilang', 'agama', 'candu', 'rakyat', 'agama', 'lawan', 'feodalisme', 'amp', 'kapitalisme', 'agama', 'hai', 'bajing', 'rendah', 'orang', 'agama', 'ala']"
USER Pak USER KemenAg harus ungkap ajaran dungu & biadab yg ada di Quran agar masyarakat tak tertipu,0,1,0,menteri agama ajar dungu biadab alquran masyarakat te ipu,"['menteri', 'agama', 'ajar', 'dungu', 'biadab', 'alquran', 'masyarakat', 'te', 'ipu']"
"Kalau belum jadi Presiden, silakan serahkan saja daftarnya, Pak! Yang paling penting adalah 100 orang itu dibuat menderita! PENGGUNA PENGGUNA #2019GantiPresiden",0,0,1,presiden sila serah daftar 100 orang derita 2019 ganti presiden,"['presiden', 'sila', 'serah', 'daftar', '100', 'orang', 'derita', '2019', 'ganti', 'presiden']"
USER USER USER USER USER USER USER USER USER Gak hidup cebong klo gak produksi dan makan hoaks.',0,1,0,hidup cebong produksi makan hoaks,"['hidup', 'cebong', 'produksi', 'makan', 'hoaks']"
USER Para cebong kanan tetap ngotot cawapres untuk Pak Prabowo harus dari kalangan mereka. 11 12 kek cebong kiri. :)))',0,1,0,cebong kanan otot calon wakil presiden prabowo kalang 11 12 kayak cebong kiri,"['cebong', 'kanan', 'otot', 'calon', 'wakil', 'presiden', 'prabowo', 'kalang', '11', '12', 'kayak', 'cebong', 'kiri']"
RT USER USER Karna mreka yakin bila melawan lg PS akan kmbali kalah lawan JKW.,1,0,0,lawan play station kalah lawan jokowi,"['lawan', 'play', 'station', 'kalah', 'lawan', 'jokowi']"
19. Pemimpin masjid adalah pemimpin yang dapat mengajak kita untuk sungguh-sungguh menjalankan syariat Islam. Menggulingkan pemimpin non-Muslim,0,0,1,19 pimpin masjid pimpin ajak sungguh sungguh jalan syariat islam guling pimpin non muslim,"['19', 'pimpin', 'masjid', 'pimpin', 'ajak', 'sungguh', 'sungguh', 'jalan', 'syariat', 'islam', 'guling', 'pimpin', 'non', 'muslim']"
"USER Apasih, gajelas lu bangke'",1,0,0,sih bangkai,"['sih', 'bangkai']"
Pengguna RT PENGGUNA PENGGUNA,1,0,0,nan,['nan']
Dikelilingi Kantor LBH Jakarta,0,0,1,keliling kantor jaka a,"['keliling', 'kantor', 'jaka', 'a']"
Siapapun cawapresnya asal bukan jokowi saya pilih... Keberanian Prabowo tidak sampai setengahnya pak. URL,1,0,0,calon wakil presiden jokowi pilih berani prabowo uniform resource locator,"['calon', 'wakil', 'presiden', 'jokowi', 'pilih', 'berani', 'prabowo', 'uniform', 'resource', 'locator']"
Saatnya untuk mundur. menggulingkan Jokowi,0,0,1,mundur guling jokowi,"['mundur', 'guling', 'jokowi']"
Apa sudah melihat lokasi Muhammad membantai 800 Yahudi sekitar 1400 tahun lalu Bung Lukman?,0,1,0,lihat lokasi muhammad bantai 800 yahudi 1400 lukman,"['lihat', 'lokasi', 'muhammad', 'bantai', '800', 'yahudi', '1400', 'lukman']"
Julukan KPK lengkap. Mulai dari antek-antek Yahudi hingga Komunis. Hahaha.. Bubarkan Semen Padang FC!!,0,0,1,juluk komisi berantas korupsi lengkap antek antek yahudi komunis haha bubar semen padang fc,"['juluk', 'komisi', 'berantas', 'korupsi', 'lengkap', 'antek', 'antek', 'yahudi', 'komunis', 'haha', 'bubar', 'semen', 'padang', 'fc']"
"Bukan hinaan lagi, 7 juta bahkan 10 juta siap menggulingkan jokowi, coba deh, pasti jokowi salah lagi...",1,0,0,hina 7 juta 10 juta guling jokowi coba deh jokowi salah,"['hina', '7', 'juta', '10', 'juta', 'guling', 'jokowi', 'coba', 'deh', 'jokowi', 'salah']"
"Aceh usir gub kalimantan, manado usir anggota dewan, jakarta yg satu mengusir ke arab, yg satu lg mengusir ke cina. Asik nih, lg tren usir-usiran",0,1,0,aceh usir gubernur kalimantan manado usir anggota dewan jaka a usir arab usir cina asyik nih tren usir usir,"['aceh', 'usir', 'gubernur', 'kalimantan', 'manado', 'usir', 'anggota', 'dewan', 'jaka', 'a', 'usir', 'arab', 'usir', 'cina', 'asyik', 'nih', 'tren', 'usir', 'usir']"
RT USER: WASPADA!!! Letjen (Purn) Suryo Prabowo: Situasi Sekarang Mirip dengan Situasi Jelang G30S/PKI URL,0,1,0,waspada letnan jenderal purna suryo prabowo situasi situasi jelang gera 30 september partai komunis indonesia uniform resource locator,"['waspada', 'letnan', 'jenderal', 'purna', 'suryo', 'prabowo', 'situasi', 'situasi', 'jelang', 'gera', '30', 'september', 'partai', 'komunis', 'indonesia', 'uniform', 'resource', 'locator']"
RT USER USER tolol itu banyak yg bela penista agama walau sudah tersangka,0,1,0,tolol bela nista agama sangka,"['tolol', 'bela', 'nista', 'agama', 'sangka']"
"Direktur Riset Median, Sudarto mengatakan, meski Jokowi masih menduduki posisi teratas, ? NAMUN MAYORITAS WARGA TAK INGIN DIA MEMIMPIN INDONESIA KEMBALI ?; ; Pinjem TOA donkz ?; ; #2019GantiPresiden MUTLAK !!!!; ;",1,0,0,direktur riset median o jokowi duduk posisi mayoritas warga pimpin indonesia pinjam toa 2019 ganti presiden mutlak,"['direktur', 'riset', 'median', 'o', 'jokowi', 'duduk', 'posisi', 'mayoritas', 'warga', 'pimpin', 'indonesia', 'pinjam', 'toa', '2019', 'ganti', 'presiden', 'mutlak']"
PENGGUNA PENGGUNA Jika Jokowi - Tommy jadi RI1 & RI2. Sudah dipastikan banyak Cebong yang bunuh diri. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1,0,jokowi tommy republik indonesia 1 republik indonesia 2 cebong bunuh,"['jokowi', 'tommy', 'republik', 'indonesia', '1', 'republik', 'indonesia', '2', 'cebong', 'bunuh']"
USER USER USER USER Hahahahahha....ga beda sama sanjungan mereka si babi jijik.....ehhh...bibib rijik...wkwkwkwk',1,0,0,haha beda sanjung sih babi jijik eh habib rizieq wkwk,"['haha', 'beda', 'sanjung', 'sih', 'babi', 'jijik', 'eh', 'habib', 'rizieq', 'wkwk']"
RT USER USER Sebaiknya USER dibubarkan dan dibentuk lembaga antikorupsi baru dengan paradigma baru yang benar-benar independen.,0,0,1,bubar bentuk lembaga anti korupsi paradigma bebas,"['bubar', 'bentuk', 'lembaga', 'anti', 'korupsi', 'paradigma', 'bebas']"
USER USER USER Mabuk kencing unta gan??\n\xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,0,0,mabuk kencing unta juragan,"['mabuk', 'kencing', 'unta', 'juragan']"
USER USER Ganti presiden seluruh TKA China untuk kembali ke dataran China menggunakan getek',0,0,1,ganti presiden tenaga kerja asing cina datar cina getek,"['ganti', 'presiden', 'tenaga', 'kerja', 'asing', 'cina', 'datar', 'cina', 'getek']"
"PENGGUNA RT PKI Gabung PDI P, Bubarkan PDI P!!",0,0,1,partai komunis indonesia gabung partai demokrasi indonesia p bubar partai demokrasi indonesia p,"['partai', 'komunis', 'indonesia', 'gabung', 'partai', 'demokrasi', 'indonesia', 'p', 'bubar', 'partai', 'demokrasi', 'indonesia', 'p']"
2019 Ganti Presiden_Yang suka menebar janji akan mengundurkan diri',0,0,1,2019 ganti presiden suka tebar janji undur,"['2019', 'ganti', 'presiden', 'suka', 'tebar', 'janji', 'undur']"
"USER USER Dia manusia produk dungunya pangkat dungu, akibat lahir dungu., otaknya jd dungu, wajahnya pun dungu krna doyan hina semua dgn dungu...'",1,0,0,manusia produk dungu pangkat dungu akibat lahir dungu otak dungu wajah dungu suka hina dungu,"['manusia', 'produk', 'dungu', 'pangkat', 'dungu', 'akibat', 'lahir', 'dungu', 'otak', 'dungu', 'wajah', 'dungu', 'suka', 'hina', 'dungu']"
Bangke !! USER gue rajin bayar lu ga pernah bener. Tariff naik trs',0,1,0,bangkai gue rajin bayar tarif,"['bangkai', 'gue', 'rajin', 'bayar', 'tarif']"
RT USER USER USER Tangkap Setnov yang tidak mampu membubarkan KPK!!,0,0,1,tangkap setya novanto bubar komisi berantas korupsi,"['tangkap', 'setya', 'novanto', 'bubar', 'komisi', 'berantas', 'korupsi']"
USER Kaum bani kampret sj yang bereaksi negatif',0,1,0,kaum bani kampret reaksi negatif,"['kaum', 'bani', 'kampret', 'reaksi', 'negatif']"
PENGGUNA APA ITU KAPITALISME HAHAHA. kalian antek-antek komunis.,0,1,0,kapitalisme haha antek antek komunis,"['kapitalisme', 'haha', 'antek', 'antek', 'komunis']"
RT USER USER USER Oh..ini ma antek nya komunis bung...,1,0,0,oh antek nya komunis,"['oh', 'antek', 'nya', 'komunis']"
Rezim anti Islam pro komunis.. InsyaAllah kita akan saksikan kehancurannya.,1,0,0,rezim anti islam pro komunis insyaallah saksi hancur,"['rezim', 'anti', 'islam', 'pro', 'komunis', 'insyaallah', 'saksi', 'hancur']"
USER Anda setan',1,0,0,setan,['setan']
"USER USER #2019GantiPresiden; krn saya butuh pemimpin yg pro pribumi, bukan pro TKA",1,0,0,2019 ganti presiden butuh pimpin pro pribumi pro tenaga kerja asing,"['2019', 'ganti', 'presiden', 'butuh', 'pimpin', 'pro', 'pribumi', 'pro', 'tenaga', 'kerja', 'asing']"
RT USER: Wanita Indonesia yang memakai burka atau hijab harus diberantas dari Indonesia pak USER USER USER,0,0,1,wanita indonesia pakai burka hijab berantas indonesia,"['wanita', 'indonesia', 'pakai', 'burka', 'hijab', 'berantas', 'indonesia']"
USER USER Lg belajar ngerayu Pak Jokowi pengen jd menteri....barangkali,1,0,0,ajar rayu jokowi menteri barangkali,"['ajar', 'rayu', 'jokowi', 'menteri', 'barangkali']"
"USER USER Diberhentikan, kan?",1,0,0,henti,['henti']
MAKA INI DPR TERBUSUK !!!,0,1,0,dewan wakil rakyat busuk,"['dewan', 'wakil', 'rakyat', 'busuk']"
RT USER Bubarkan DPR! tidak berguna,0,0,1,bubar dewan wakil rakyat,"['bubar', 'dewan', 'wakil', 'rakyat']"
USER Masa kaga tau princess. Udik bener ?',1,0,0,tau princess udik,"['tau', 'princess', 'udik']"
USER USER USER Kamu Cebong ya.... wkwkwk',1,0,0,cebong ya wkwk,"['cebong', 'ya', 'wkwk']"
"USER Sampaoli is sontoloyo, lebih pilih higuain dari pada icardi \xf0\x9f\xa4\x90'",1,0,0,sampaoli is sontoloyo pilih higuain icardi,"['sampaoli', 'is', 'sontoloyo', 'pilih', 'higuain', 'icardi']"
"-c-\n\nikuti kami."" \n\nKao yang sedari tadi menahan emosinya akhirnya meledak.\n\n""Bajingan. Anda bajingan. Saya laki-laki! Aku tekan sekali lagi, MAN!! Pipi."" \n\nDadanya naik turun, wajahnya merah seperti kepiting rebus. Rupanya dia juga begitu.",1,0,0,c kau dar tahan emosi ledak bajing bajing laki laki tekan man pipi dada turun wajah merah sepe i kepiting rebus rupa,"['c', 'kau', 'dar', 'tahan', 'emosi', 'ledak', 'bajing', 'bajing', 'laki', 'laki', 'tekan', 'man', 'pipi', 'dada', 'turun', 'wajah', 'merah', 'sepe', 'i', 'kepiting', 'rebus', 'rupa']"
Presiden SBY mengatakan dana APBD tidak cukup untuk membuat gas aagym. Saya bilang karena korupsi anggaran tidak bisa membuat investor gas jadi gas,1,0,0,presiden susilo bambang yudhoyono dana anggar belanja daerah gas abdullah gymnastiar bilang korupsi anggar investor gas gas,"['presiden', 'susilo', 'bambang', 'yudhoyono', 'dana', 'anggar', 'belanja', 'daerah', 'gas', 'abdullah', 'gymnastiar', 'bilang', 'korupsi', 'anggar', 'investor', 'gas', 'gas']"
"Dunia selalu dijungkirbalikkan oleh orang-orang yang sakit hati, sehingga Indonesia hancur. Semuanya suudzon",0,1,0,dunia dijungkirbalikkan orang orang sakit hati indonesia hancur suuzan,"['dunia', 'dijungkirbalikkan', 'orang', 'orang', 'sakit', 'hati', 'indonesia', 'hancur', 'suuzan']"
Setya novanto pengen mati. Ehh yaudah sihh mati aja sono,1,0,0,setya novanto mati eh ya sih mati,"['setya', 'novanto', 'mati', 'eh', 'ya', 'sih', 'mati']"
"USER Anda cacat, lesung pipit adalah cacat. itu saja \xf0\x9f\x98\x9c'",1,0,0,cacat lesung pipit cacat,"['cacat', 'lesung', 'pipit', 'cacat']"
URL ASU CINA,0,1,0,uniform resource locator anjing cina,"['uniform', 'resource', 'locator', 'anjing', 'cina']"
"Belum Bisa Maju, Penjilat Kotoran AHOK Ini, Guntur Romli Tuding Asma Dewi Terkait URL Anies-Sandi",1,0,0,maju jilat kotor ahok guntur romli tuding asma dewi kait uniform resource locator anies sandi,"['maju', 'jilat', 'kotor', 'ahok', 'guntur', 'romli', 'tuding', 'asma', 'dewi', 'kait', 'uniform', 'resource', 'locator', 'anies', 'sandi']"
"USER Begitulah pekaes yg doyan dgn pipis onta, ilmu jd nomor 2 yg utama adalah khutbahnya yg menyala-nyala dan berani mencaci Jokowi, yah itulah junjungannya kayak si pelari terlama sono tuh,,, wkwkwkwk.'",0,1,0,partai adil sejahtera suka pipis onta ilmu nomor 2 utama khotbah nyala nyala berani caci jokowi ya junjung kayak sih lari wkwk,"['partai', 'adil', 'sejahtera', 'suka', 'pipis', 'onta', 'ilmu', 'nomor', '2', 'utama', 'khotbah', 'nyala', 'nyala', 'berani', 'caci', 'jokowi', 'ya', 'junjung', 'kayak', 'sih', 'lari', 'wkwk']"
PENGGUNA RT: URL Kampret Milanisti,0,1,0,uniform resource locator kampret milanisti,"['uniform', 'resource', 'locator', 'kampret', 'milanisti']"
Cerdas SBY. UU Pemilu sdh disahkan. Artinya dari skrg bakal calon presiden/calon wakil presiden sdh bisa curi start kampanye. Hnya AHY manfaatkan USER,1,0,0,cerdas susilo bambang yudhoyono undang undang pilih sah a inya calon presiden calon wakil presiden curi stasiun kampanye agus harimurti yudhoyono manfaat,"['cerdas', 'susilo', 'bambang', 'yudhoyono', 'undang', 'undang', 'pilih', 'sah', 'a', 'inya', 'calon', 'presiden', 'calon', 'wakil', 'presiden', 'curi', 'stasiun', 'kampanye', 'agus', 'harimurti', 'yudhoyono', 'manfaat']"
RT PENGGUNA: Kamu sungguh monyet yang sombong. URL,1,0,0,sungguh monyet sombong uniform resource locator,"['sungguh', 'monyet', 'sombong', 'uniform', 'resource', 'locator']"
"Segera koordinasikan kekuatan massa muslim..segera kepung kedutaan Myanmar..usir Duta Besar dan Umat Buddha ""Liar"" dari Indonesia!!!",0,0,1,koordinasi kuat massa muslim kepung duta myanmar usir duta umat buddha liar indonesia,"['koordinasi', 'kuat', 'massa', 'muslim', 'kepung', 'duta', 'myanmar', 'usir', 'duta', 'umat', 'buddha', 'liar', 'indonesia']"
Apakah pantas bagi pemerintah kita untuk menjalin hubungan persahabatan dengan Komunis Tiongkok?,0,1,0,perintah jalin hubung sahabat komunis tiongkok,"['perintah', 'jalin', 'hubung', 'sahabat', 'komunis', 'tiongkok']"
rt USER USER USER Tapi kenapa Jokowi tak mau tes DNA? Tes DNA bisa membuktikan bahwa dia bukan keturunan PKI,1,0,0,jokowi tes dna tes dna bukti turun partai komunis indonesia,"['jokowi', 'tes', 'dna', 'tes', 'dna', 'bukti', 'turun', 'partai', 'komunis', 'indonesia']"
"USER tunggu sebentar, dia mirip siapa *berpikir keras*'",1,0,0,tunggu sebentar pikir keras,"['tunggu', 'sebentar', 'pikir', 'keras']"
PENGGUNA PENGGUNA PENGGUNA Pengguna,0,1,0,nan,['nan']
"Mari kita gulingkan USER, dan jadikan Tuan USER sebagai Presiden. Ini makin gila ahogers, hahaha",0,0,1,mari guling tuan presiden gila ahoker haha,"['mari', 'guling', 'tuan', 'presiden', 'gila', 'ahoker', 'haha']"
Perilaku Si BABI USER ini memang benci dgn hal berbau Islam. Cocok dgn Ahok. USER,1,0,0,perilaku sih babi benci bau islam cocok ahok,"['perilaku', 'sih', 'babi', 'benci', 'bau', 'islam', 'cocok', 'ahok']"
PENGGUNA Perut buncit bukan karena terlalu banyak tidur..bagaimana kecebong bisa mengerti?,1,0,0,perut buncit tidur kecebong menge i,"['perut', 'buncit', 'tidur', 'kecebong', 'menge', 'i']"
"Tangkap Ahok Sekarang Juga, Share Kalau Setuju!!!",0,0,1,tangkap ahok tuju,"['tangkap', 'ahok', 'tuju']"
USER Bibirmu terlihat seperti dengusan bebek,1,0,0,bibir lihat sepe i dengus bebek,"['bibir', 'lihat', 'sepe', 'i', 'dengus', 'bebek']"
AVA KEMI NAJIS BGT EEK',1,0,0,ava kemi najis banget tai,"['ava', 'kemi', 'najis', 'banget', 'tai']"
INSYAA ALLAH PENGUASA JAHAT YG JADI JONGOS & BUDAK CINA KAFIR KOMUNIS YG BERNAFSU UNTUK JAJAH & RAMPOK INDONESIA DIHANCURKAN ALLAH SWT SEGERA!!!,1,0,0,insya allah kuasa jahat jongos budak cina kafir komunis nafsu jajah rampok indonesia hancur allah subhanahu wa taala,"['insya', 'allah', 'kuasa', 'jahat', 'jongos', 'budak', 'cina', 'kafir', 'komunis', 'nafsu', 'jajah', 'rampok', 'indonesia', 'hancur', 'allah', 'subhanahu', 'wa', 'taala']"
"Ustadz dan Ulama ngobrol politik lalu di-bully, diminta berhenti; Anggota Parlemen mengkritik, mengutuk, mengatakan kelompok dirugikan; Tokoh Kritikus Nasional, Karakternya Dibunuh; Pejabat Aktif Rajin Kritik Dipecat; Maka hanya “penjilat” yang bisa berbicara tentang politik",1,0,0,ustaz ulama obrol politik bully henti anggota parlemen kritik kutuk kelompok rugi tokoh kritikus nasional karakter bunuh jabat aktif rajin kritik pecat jilat bicara politik,"['ustaz', 'ulama', 'obrol', 'politik', 'bully', 'henti', 'anggota', 'parlemen', 'kritik', 'kutuk', 'kelompok', 'rugi', 'tokoh', 'kritikus', 'nasional', 'karakter', 'bunuh', 'jabat', 'aktif', 'rajin', 'kritik', 'pecat', 'jilat', 'bicara', 'politik']"
"Ingin Ahok keluar dari penjara? Jangan demo Rutan, tapi demo Jokowi minta amnesti atau grasi. Kalau tidak dikabulkan, hapus Ucapan Selamat 2 Tahun untuk Jokowi",0,0,1,ahok penjara demo rumah tahan demo jokowi amnesti grasi kabul hapus selamat 2 jokowi,"['ahok', 'penjara', 'demo', 'rumah', 'tahan', 'demo', 'jokowi', 'amnesti', 'grasi', 'kabul', 'hapus', 'selamat', '2', 'jokowi']"
